customer_nk,churn_group,reactivated,total_sales,margin
064945f2-bfda-4048-af9b-61b50287d2fd,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
06570ab7-df23-4693-b5c9-ad1360e3f208,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,48.3,37.48
0665d3bf-c6b5-4bf5-bb79-32a11fedfbe7,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
067028bf-7cec-4d36-8e46-a7f69cc5f878,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
067dce7b-82cf-4793-9c12-331a8afc8b0f,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
06824ef8-6151-4b52-a156-f92ad0caa28e,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
069c18a4-89d4-4b13-b2e4-137cb18c6d20,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
06b43f60-0e76-4de9-af66-7951248776eb,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
06f13868-9222-41f4-a958-c5d564207c5c,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
07065e92-6f23-4597-980b-d6eb8e597328,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
072406b7-82d7-4e87-9691-86427f2a40f2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
075502e2-181f-4004-a1ae-c0210cf8fae4,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
076c6f5a-d313-42b0-a54e-264f6cbe6919,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
07888155-9c9a-4ada-8412-c3502796565d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
079f3f87-bc2e-4ebb-bf6c-bbe1243c426e,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
07ba39d3-e28d-42bc-809d-8ab489860cb4,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
07c1a2e7-b66a-4134-ab2b-c6d2efeec5ef,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
07f246e4-dc92-48d0-8286-ba07c13f4dea,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
080371bc-b533-40c0-ba85-47a953fc5fcd,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0811303b-8c12-4af5-991c-f2ecf5030f2d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0822f8d0-a0a0-4432-be75-d0cfdd503db6,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
082e44a0-d6a8-45a2-b6ea-62fb1ec44509,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
084add3b-3dcc-4ffb-8020-364d7c2bec68,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08555a1a-35b7-48c3-8995-cdb1581c4dc3,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
087f8f2d-33e0-4fa0-8ee6-7f500e642068,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
088301e1-2700-4f2f-ad6f-94e574b3f4b8,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0892f357-587e-49e4-85d1-c0a42b419fa0,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08aae3c9-7369-4b28-b07a-dba52eae9176,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08c235a3-d449-4d99-8f7c-24279659c849,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08ec1ea8-28e4-49e7-85b7-e41fe5cfbe85,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08f08d47-838c-4c0c-b78c-78388b44e421,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
08f4f76e-c62d-476f-be17-4af517b70426,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
091b34e2-e6c1-468d-a906-62caa896e310,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09270821-7f85-4c92-8c06-f4cdee0189da,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09273c23-2efc-4af1-8b64-7487127805c2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
093502f4-62d3-422f-b003-977d50c5984b,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09777a6b-6ed4-44d1-b606-f35944ee0824,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0977b2c6-e001-4a89-ad03-fabe2eda5202,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0981cc1f-42c8-43d4-8e37-d39ca5552fe0,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09abd86f-a623-4f3d-86f0-81a3187975c5,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09ac946a-ce0f-4583-9e33-c55e9126997f,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
09f0be4a-2bbb-467f-8ce4-240409e6ed27,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,22.01,19.59
09f1b051-e41c-4937-8a11-3a995a5b6b62,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0a2921c6-8214-4fc4-b5cc-b93698e8bd9d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0a39a8ae-1118-4384-9409-cc339c3f22ac,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0a400dfb-3cc6-4761-b29f-48f08b83a769,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0a7698ac-9a45-4b8d-9ece-c6438b21553b,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0a9ad951-d70b-4a92-b225-540a75c69901,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ab2042b-73ed-4e87-b72a-854e210f439c,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ac2120a-d97a-4f45-9018-da745fb42531,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ad644b4-9d29-4141-a52b-5a2ccbe72f9f,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ad7e061-c099-4a9a-b1f1-cc19fa430ed4,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0afd6b1d-efd6-48f3-ae02-c2a81649aac2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b089440-6ae4-4e24-a7d2-9958a1f3fb38,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,18.34,15.61
0b397797-59bf-402c-98de-a159c8a8ef8a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b6196ed-2793-4790-862f-3b04066a258e,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b70017d-8dba-4a27-b8a9-c78c3d332e92,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b79067e-3afe-41e7-9e6e-6c47667ac76d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b835455-725b-4190-9ccc-58cd692765d6,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b86835e-5c13-46f5-a66b-0318fcda3d8d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b87d384-bfbe-427b-9d84-de6e31f5f893,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0b8a9d01-7b51-4513-8d0f-e268c64dc2bf,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ba5d5c2-8b8f-41b4-92b5-420355cf3a50,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0bf9aa2c-04b7-47c3-bbc0-58c101156b3f,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0bfc17c9-0831-4803-8f68-a2e67b9ecbf2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c0fcaf3-ed1c-4545-ae6a-dbda424263f4,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c3081dc-f4a4-442e-af71-74f54ea90770,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c33b625-fe0d-4da7-a70f-1cc86b3f300c,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,23.12,12.84
0c36d70a-984d-403a-ac2e-de94ab322baf,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c45965b-30fe-4e05-8b57-f2c157b2ef18,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c8f2c72-8991-4e26-9a2a-c9f82af976f2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0c9740a7-03f7-41a6-b992-457f27e28303,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0caa899b-212f-4214-b36d-13dc2bea0a41,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0cdeb31f-fe35-4126-a849-da2fe909885c,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ce430bc-ad68-4dc4-8ded-e425f99caf52,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0d05eac4-f02b-4fc2-a8a3-c2674a7ce52d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0d16a792-dd1f-4706-b722-d692ceed07df,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0d2e5778-1f7c-48c8-85df-ce5c2cb08fba,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0dacf988-05da-4d15-aa9a-4ddbdf5ebaa5,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0dd99554-7b42-4129-a2e7-9212e07b7580,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0de8e964-9468-4552-befa-9d3c1e78ab03,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e0595cc-ef74-43f0-8389-a099bd5ac976,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e2782f2-99ae-46cd-bea7-961bae0e3976,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e2bb03c-8059-4834-91c9-30ff501fbe0d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e42eaba-fda6-428c-84df-34370d42b297,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e44152c-d24d-42cb-8fe4-4bd290ff3efa,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e4bf094-c2c8-4879-a33c-25581deaa35a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e78891a-9bc3-4c71-ad59-86ec6b443c72,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0e9968f7-b3ce-4bff-8ba6-d7d01bac14e0,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ea3ebe5-d885-4e79-8716-bdb14ff4226a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ecabc7a-99aa-4bac-aad8-5495973d6d24,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0ee03001-5459-432c-8fad-5522f690ab9e,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0eef3ed3-b266-40e9-b911-794dadf2f9aa,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0f0e5b42-0e6a-45fa-b1ee-f46ea917c029,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0f40a94f-db57-49b7-85aa-d767043d6802,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0f52207e-5514-4df0-b714-fa7c8fb5b5a4,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0f84daae-4b4b-4388-9f05-9d27389df21f,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0fa0d152-9c3e-4127-8268-0a5fa0cfaca3,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0fd5070d-d271-4c09-8dba-77c5317d9577,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0fe4927e-f581-45bd-9b87-0d6b30df0356,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
0fede62f-eb3e-4587-88a9-a79d55de7e45,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1040a700-dda9-4c63-81a3-ad851feb8d77,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
105cd682-8142-4989-9aa7-a4a250779814,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,22.29,14.83
1062d1ba-dde9-4200-b3ed-bda786ab65ff,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1064a423-3aed-43ce-8453-e317d5090653,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
108d6bc1-e9bc-4e18-8d7f-49af92b7cb40,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1095d15f-f9dc-46d7-8f47-0dedb9f2d1a2,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
109d0994-feb9-435f-8826-86168043ed68,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
10cd3a67-6e0f-43ad-8d18-05fe0b2be436,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
111bd812-b42c-4dc5-8072-c67540882b7a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11282d0a-e970-48e9-b54a-b484192092bd,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
115895fa-1fcf-43d1-9876-8f9a332736f1,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11685ef8-306f-4ae7-add7-c75651bea3c5,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11732563-9842-4754-a2f6-f8e64c7e6aee,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1174c81c-30ea-4035-a44c-77e3a5a2898a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11b7dba5-0f29-4e82-a21f-e38f554d9d5b,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11d19b5f-7fee-410d-9011-eff76bfdf15d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
11df4486-497c-4832-b0bb-a4d5e91b5ffc,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12251992-934d-4cba-aeea-3815373124a9,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1231d8da-9e19-4364-babc-9b193d9f71ca,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
125c24bf-9e32-44cf-85be-628ad8f0f341,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
125d7fa6-dea7-455f-87ca-cd88ffdff391,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12be5ded-4826-452b-aae2-275795bfbc80,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12c1c009-4d66-4099-a654-72c4668fe0cc,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12ca2492-39e0-49e2-9233-f5a41c07dba3,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12e85c51-8a1f-4d56-8eee-81c9a6810786,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
12f9b0b8-8b5e-4631-aa0b-9937091cbdd9,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
130e5560-5d6c-4e78-8d1c-ae541ff72354,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1322291b-80f8-4dda-93e3-39ad63fc6499,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,5.6,2.17
1332e954-4770-4616-bd7e-eb63d093e31c,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1342fbdc-538e-4336-b962-de6b46a1efc0,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
136c1285-de5e-4e4b-acb5-6479c58fefe9,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1377a821-25b2-4ad5-a03f-47acc763df0d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
13797570-d453-4a0f-b8d9-7e6966220261,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1388c73e-ddb7-4074-871a-2a61134c1d91,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
1390daa9-b193-43bd-b51c-71e69712e3eb,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
13ae65e8-f623-45e6-b78e-aa7e8d7a54eb,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
13d56c1e-53e4-4367-97de-76d6cffda229,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
13ebeb80-4b1c-4d83-bbef-888fae4e459d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
13f993b6-713c-4cee-9685-0ad64b0c7a79,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
146ec82d-49f2-48f2-b46d-8cb091bd3b27,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
147e0157-62bb-4c86-8b58-e4104273ba90,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
147f28b2-d073-4341-8991-68aaf9e0f03a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
14987244-5e9e-4195-b666-dc57958204b6,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
14c94b29-9962-4c58-915a-5f749b9eca0b,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
14d98020-21bb-4666-b106-6ae833664cda,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
151ab9e1-ba4c-4d92-939b-f23cef437fd9,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
15399438-64ad-4ae1-b2ef-18ea2d201e2d,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
15431e86-2cfe-4da3-a6d3-806d55ba7756,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
15448ad0-1f18-4253-b7d4-0226bc61395a,Binary Uplift - BNLX_ChurnP_10_test_export.csv,1,29.34,8.59
1569bbdd-8da1-4003-a44f-f6e955a0d367,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
15821256-1bad-432b-838b-85ab8106fada,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
158a5ecb-1881-403c-b697-6ced8c259c61,Binary Uplift - BNLX_ChurnP_10_test_export.csv,0,0,0
